#,Заказной код,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Цвет указателя,Параметр:Заказной код:Материал
,G32-S-AMP-RED,от 63 до 150мм,Красный,нерж.сталь
,G32-S-AMP-BLUE,от 63 до 150мм,Синий,нерж.сталь
