"#","Код","Параметр:Код:Подсоед. инструмента","Параметр:Код:Подсоед. к процессу","Параметр:Код:Материал верхней части корпуса","Параметр:Код:Диаметр мембраны","Параметр:Код:Материал нижней части корпуса","Параметр:Код:Материал мембраны"
,"DT122-B-A-1-1-S-S-1","FNPT 1/4","ANSI 150# 1/2","SS316","ø36мм","SS316","SS316L"
,"DT122-B-A-1-1-S-S-2","FNPT 1/4","ANSI 150# 1/2","SS316","ø36мм","SS316","Хастеллой C276"
,"DT122-B-A-1-1-S-S-3","FNPT 1/4","ANSI 150# 1/2","SS316","ø36мм","SS316","Танталум"
,"DT122-B-A-1-2-S-S-1","FNPT 1/4","ANSI 300# 1/2","SS316","ø36мм","SS316","SS316L"
,"DT122-B-A-1-2-S-S-2","FNPT 1/4","ANSI 300# 1/2","SS316","ø36мм","SS316","Хастеллой C276"
,"DT122-B-A-1-2-S-S-3","FNPT 1/4","ANSI 300# 1/2","SS316","ø36мм","SS316","Танталум"
,"DT122-B-A-1-G10-S-S-1","FNPT 1/4","Гост Py10 Dy15","SS316","ø36мм","SS316","SS316L"
,"DT122-B-A-1-G10-S-S-2","FNPT 1/4","Гост Py10 Dy15","SS316","ø36мм","SS316","Хастеллой C276"
,"DT122-B-A-1-G10-S-S-3","FNPT 1/4","Гост Py10 Dy15","SS316","ø36мм","SS316","Танталум"
,"DT122-B-A-1-G16-S-S-1","FNPT 1/4","Гост Py16 Dy15","SS316","ø36мм","SS316","SS316L"
,"DT122-B-A-1-G16-S-S-2","FNPT 1/4","Гост Py16 Dy15","SS316","ø36мм","SS316","Хастеллой C276"
,"DT122-B-A-1-G16-S-S-3","FNPT 1/4","Гост Py16 Dy15","SS316","ø36мм","SS316","Танталум"
,"DT122-B-A-1-G25-S-S-1","FNPT 1/4","Гост Py25 Dy15","SS316","ø36мм","SS316","SS316L"
,"DT122-B-A-1-G25-S-S-2","FNPT 1/4","Гост Py25 Dy15","SS316","ø36мм","SS316","Хастеллой C276"
,"DT122-B-A-1-G25-S-S-3","FNPT 1/4","Гост Py25 Dy15","SS316","ø36мм","SS316","Танталум"
,"DT122-B-A-2-1-S-S-1","FNPT 1/4","ANSI 150# 3/4","SS316","ø36мм","SS316","SS316L"
,"DT122-B-A-2-1-S-S-2","FNPT 1/4","ANSI 150# 3/4","SS316","ø36мм","SS316","Хастеллой C276"
,"DT122-B-A-2-1-S-S-3","FNPT 1/4","ANSI 150# 3/4","SS316","ø36мм","SS316","Танталум"
,"DT122-B-A-2-2-S-S-1","FNPT 1/4","ANSI 300# 3/4","SS316","ø36мм","SS316","SS316L"
,"DT122-B-A-2-2-S-S-2","FNPT 1/4","ANSI 300# 3/4","SS316","ø36мм","SS316","Хастеллой C276"
