#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,"612-20-100-0-2,5kPa",100 мм,G1/2B,снизу,"от 0 до 25 мбар / 2,5 kPa"
,612-20-100-0-4kPa,100 мм,G1/2B,снизу,от 0 до 40 мбар / 4 kPa
,612-20-100-0-6kPa,100 мм,G1/2B,снизу,от 0 до 60 мбар / 6 kPa
,612-20-100-0-10kPa,100 мм,G1/2B,снизу,от 0 до 100 мбар / 10 kPa
,612-20-100-0-16kPa,100 мм,G1/2B,снизу,от 0 до 160 мбар / 16 kPa
,612-20-100-0-25kPa,100 мм,G1/2B,снизу,от 0 до 250 мбар / 25 kPa
,612-20-100-0-40kPa,100 мм,G1/2B,снизу,от 0 до 400 мбар / 40 kPa
,612-20-100-600-0m,100 мм,G1/2B,снизу,от -600 до 0 мбар
,612-20-100-400-0m,100 мм,G1/2B,снизу,от -400 до 0 мбар
,612-20-100-250-0m,100 мм,G1/2B,снизу,от -250 до 0 мбар
,612-20-100-160-0m,100 мм,G1/2B,снизу,от -160 до 0 мбар
,612-20-100-100-0m,100 мм,G1/2B,снизу,от -100 до 0 мбар
,612-20-100-60-0m,100 мм,G1/2B,снизу,от -60 до 0 мбар
,612-20-100-40-0m,100 мм,G1/2B,снизу,от -40 до 0 мбар
,612-20-100-25-0m,100 мм,G1/2B,снизу,от -25 до 0 мбар
,612-20-100-16-0m,100 мм,G1/2B,снизу,от -16 до 0 мбар
,612-20-100-10-0m,100 мм,G1/2B,снизу,от -10 до 0 мбар
,612-20-100-0-10m,100 мм,G1/2B,снизу,от 0 до 10 мбар
,612-20-100-0-16m,100 мм,G1/2B,снизу,от 0 до 16 мбар
,612-20-100-0-25m,100 мм,G1/2B,снизу,от 0 до 25 мбар
,612-20-100-0-40m,100 мм,G1/2B,снизу,от 0 до 40 мбар
,612-20-100-0-60m,100 мм,G1/2B,снизу,от 0 до 60 мбар
,612-20-100-0-100m,100 мм,G1/2B,снизу,от 0 до 100 мбар
,612-20-100-0-160m,100 мм,G1/2B,снизу,от 0 до 160 мбар
,612-20-100-0-250m,100 мм,G1/2B,снизу,от 0 до 250 мбар
,612-20-100-0-400m,100 мм,G1/2B,снизу,от 0 до 400 мбар
,612-20-100-0-600m,100 мм,G1/2B,снизу,от 0 до 600 мбар
,612-20-100-600-0m-b,100 мм,G1/2B,сзади,от -600 до 0 мбар
,612-20-100-400-0m-b,100 мм,G1/2B,сзади,от -400 до 0 мбар
,612-20-100-250-0m-b,100 мм,G1/2B,сзади,от -250 до 0 мбар
,612-20-100-160-0m-b,100 мм,G1/2B,сзади,от -160 до 0 мбар
,612-20-100-100-0m-b,100 мм,G1/2B,сзади,от -100 до 0 мбар
,612-20-100-60-0m-b,100 мм,G1/2B,сзади,от -60 до 0 мбар
,612-20-100-40-0m-b,100 мм,G1/2B,сзади,от -40 до 0 мбар
,612-20-100-25-0m-b,100 мм,G1/2B,сзади,от -25 до 0 мбар
,612-20-100-16-0m-b,100 мм,G1/2B,сзади,от -16 до 0 мбар
,612-20-100-10-0m-b,100 мм,G1/2B,сзади,от -10 до 0 мбар
,612-20-100-0-10m-b,100 мм,G1/2B,сзади,от 0 до 10 мбар
,612-20-100-0-16m-b,100 мм,G1/2B,сзади,от 0 до 16 мбар
,612-20-100-0-25m-b,100 мм,G1/2B,сзади,от 0 до 25 мбар
,612-20-100-0-40m-b,100 мм,G1/2B,сзади,от 0 до 40 мбар
,612-20-100-0-60m-b,100 мм,G1/2B,сзади,от 0 до 60 мбар
,612-20-100-0-100m-b,100 мм,G1/2B,сзади,от 0 до 100 мбар
,612-20-100-0-160m-b,100 мм,G1/2B,сзади,от 0 до 160 мбар
,612-20-100-0-250m-b,100 мм,G1/2B,сзади,от 0 до 250 мбар
,612-20-100-0-400m-b,100 мм,G1/2B,сзади,от 0 до 400 мбар
,612-20-100-0-600m-b,100 мм,G1/2B,сзади,от 0 до 600 мбар
,612-20-100-600-0m-8N,100 мм,1/2NPT,снизу,от -600 до 0 мбар
,612-20-100-400-0m-8N,100 мм,1/2NPT,снизу,от -400 до 0 мбар
,612-20-100-250-0m-8N,100 мм,1/2NPT,снизу,от -250 до 0 мбар
,612-20-100-160-0m-8N,100 мм,1/2NPT,снизу,от -160 до 0 мбар
,612-20-100-100-0m-8N,100 мм,1/2NPT,снизу,от -100 до 0 мбар
,612-20-100-60-0m-8N,100 мм,1/2NPT,снизу,от -60 до 0 мбар
,612-20-100-40-0m-8N,100 мм,1/2NPT,снизу,от -40 до 0 мбар
,612-20-100-25-0m-8N,100 мм,1/2NPT,снизу,от -25 до 0 мбар
,612-20-100-16-0m-8N,100 мм,1/2NPT,снизу,от -16 до 0 мбар
