#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактиру- ющие со средой",Параметр:Заказной код:Подсоединение
,"PT3100-0,2-1-B","от 0 до 0,2 бар",SS316,"NPT 1/4"""
,"PT3100-0,6-1-B","от 0 до 0,6 бар",SS316,"NPT 1/4"""
,PT3100-1-1-B,от 0 до 1 бар,SS316,"NPT 1/4"""
,"PT3100-1,6-1-B","от 0 до 1,6 бар",SS316,"NPT 1/4"""
,"PT3100-2,5-1-B","от 0 до 2,5 бар",SS316,"NPT 1/4"""
,PT3100-4-1-B,от 0 до 4 бар,SS316,"NPT 1/4"""
,PT3100-6-1-B,от 0 до 6 бар,SS316,"NPT 1/4"""
,PT3100-10-1-B,от 0 до 10 бар,SS316,"NPT 1/4"""
,PT3100-16-1-B,от 0 до 16 бар,SS316,"NPT 1/4"""
,PT3100-25-1-B,от 0 до 25 бар,SS316,"NPT 1/4"""
,PT3100-40-1-B,от 0 до 40 бар,SS316,"NPT 1/4"""
,PT3100-60-1-B,от 0 до 60 бар,SS316,"NPT 1/4"""
,PT3100-100-1-B,от 0 до 100 бар,SS316,"NPT 1/4"""
,PT3100-160-1-B,от 0 до 160 бар,SS316,"NPT 1/4"""
,PT3100-250-1-B,от 0 до 250 бар,SS316,"NPT 1/4"""
,PT3100-350-1-B,от 0 до 350 бар,SS316,"NPT 1/4"""
,PT3100-0V-1-B,от -1 до 0 бар,SS316,"NPT 1/4"""
,"PT3100-2,5V-1-B","от -1 до 2,5 бар",SS316,"NPT 1/4"""
,"PT3100-4,0V-1-B",от -1 до 4 бар,SS316,"NPT 1/4"""
,"PT3100-6,0V-1-B",от -1 до 6 бар,SS316,"NPT 1/4"""
,PT3100-10V-1-B,от -1 до 10 бар,SS316,"NPT 1/4"""
,PT3100-25V-1-B,от -1 до 25 бар,SS316,"NPT 1/4"""
