#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36532254,"2,5","G 1/4""",пластик,"0…0,6 бар"
,36532256,"2,5","G 1/4""",пластик,0…1 бар
,36532257,"2,5","G 1/4""",пластик,"0…1,6 бар"
,36532258,"2,5","G 1/4""",пластик,"0…2,5 бар"
,36532259,"2,5","G 1/4""",пластик,0…4 бар
,9052836,"2,5","G 1/4""",пластик,0…6 бар
,31104323,"2,5","G 1/4""",пластик,0…10 бар
,31104318,"2,5","G 1/4""",пластик,0…16 бар
,36532260,"2,5","G 1/4""",пластик,0…25 бар
,36532294,"1,6","G 1/4""",сталь,"0…0,6 бар"
,36532293,"1,6","G 1/4""",сталь,0…1 бар
,36532292,"1,6","G 1/4""",сталь,"0…1,6 бар"
,36532291,"1,6","G 1/4""",сталь,"0…2,5 бар"
,36532290,"1,6","G 1/4""",сталь,0…4 бар
,12554627,"1,6","G 1/4""",сталь,0…6 бар
,7291818,"1,6","G 1/4""",сталь,0…10 бар
,7291834,"1,6","G 1/4""",сталь,0…16 бар
,36532264,"1,6","G 1/4""",сталь,0…25 бар
,36516946,"2,5","М12х1,5",пластик,-1…0 бар
,36516947,"2,5","М12х1,5",пластик,0…6 бар
,36516948,"2,5","М12х1,5",пластик,0…10 бар
,36516949,"2,5","М12х1,5",пластик,0…16 бар
,36516950,"2,5","М12х1,5",пластик,0…25 бар
,36516951,"2,5","М12х1,5",пластик,0…40 бар
,36516953,"1,6","М12х1,5",сталь,-1…0 бар
,36516954,"1,6","М12х1,5",сталь,0…6 бар
,7130651,"1,6","М12х1,5",сталь,0…10 бар
,7130635,"1,6","М12х1,5",сталь,0…16 бар
,36516955,"1,6","М12х1,5",сталь,0…25 бар
,36516956,"1,6","М12х1,5",сталь,0…40 бар
