#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Материал мембраны,Параметр:Заказной код:Материал нижней секции мембраны,Параметр:Заказной код:Заполнение глицерином,Параметр:Заказной код:Поверка
,"GD-32-S-L-S-4N-63A-0,6bar",от 0 до 0.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-1bar,от 0 до 1бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-1,6bar",от 0 до 1.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-2,5bar",от 0 до 2.5бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-4bar,от 0 до 4бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-6bar,от 0 до 6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-10bar,от 0 до 10бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-16bar,от 0 до 16бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-25bar,от 0 до 25бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-40bar,от 0 до 40бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-60bar,от 0 до 60бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-100bar,от 0 до 100бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-160bar,от 0 до 160бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-250bar,от 0 до 250бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-400bar,от 0 до 400бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-60kPa,от 0 до 60кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-100kPa,от 0 до 100кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-160kPa,от 0 до 160кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-250kPa,от 0 до 250кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-400kPa,от 0 до 400кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-600kPa,от 0 до 600кПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-1Mpa,от 0 до 1МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-1,6MPa",от 0 до 1.6МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-2,5MPa",от 0 до 2.5МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-4MPa,от 0 до 4МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-6MPa,от 0 до 6МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-10MPa,от 0 до 10МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-16MPa,от 0 до 16МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-25MPa,от 0 до 25МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-40MPa,от 0 до 40МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-8psi,от 0 до 8psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-15psi,от 0 до 15psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-23psi,от 0 до 23psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-35psi,от 0 до 35psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-60psi,от 0 до 6psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-85psi,от 0 до 85psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-150psi,от 0 до 150psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-230psi,от 0 до 230psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-350psi,от 0 до 350psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-600psi,от 0 до 600psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-850psi,от 0 до 850psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-1500psi,от 0 до 1500psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-2300psi,от 0 до 2300psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-3500psi,от 0 до 3500psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-6000psi,от 0 до 6000psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V0bar,от -1 до 0бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-V0,6bar",от -1 до 0.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-V1,5bar",от -1 до 1.5бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V3bar,от -1 до 3бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V5bar,от -1 до 5бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V9bar,от -1 до 9бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V15bar,от -1 до 15бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V24bar,от -1 до 24бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V0kPa,от -100 до 0КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V60kPa,от -100 до 60КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V150kPa,от -100 до 150КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V300kPa,от -100 до 300КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V500kPa,от -100 до 500КПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-V0,9MPa",от -0.1 до 0.9МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-V1,5MPa",от -0.1 до 1.5МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-V2,4MPa",от -0.1 до 2.4МПа,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V0psi,от -14.5 до 0psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V8psi,от -14.5 до 8psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V20psi,от -14.5 до 20psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V40psi,от -14.5 до 40psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V70psi,от -14.5 до 70psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V130psi,от -14.5 до 130psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V200psi,от -14.5 до 200psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,GD-32-S-L-S-4N-63A-V350psi,от -14.5 до 350psi,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,нет
,"GD-32-S-L-S-4N-63A-0,6bar-VE",от 0 до 0.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-1bar-VE,от 0 до 1бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-1,6bar-VE",от 0 до 1.6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,"GD-32-S-L-S-4N-63A-2,5bar-VE",от 0 до 2.5бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-4bar-VE,от 0 до 4бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-6bar-VE,от 0 до 6бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-10bar-VE,от 0 до 10бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-16bar-VE,от 0 до 16бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-25bar-VE,от 0 до 25бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
,GD-32-S-L-S-4N-63A-40bar-VE,от 0 до 40бар,NPT 1/4,Нержавеющая сталь,63мм,AISI 316L нерж.сталь,AISI 316 нерж.сталь,нет,да
