#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36589800,63 мм,"G1/4""","1,6",1 бар,Нержавеющая сталь
,36589801,63 мм,"G1/4""","1,6",4 бар,Нержавеющая сталь
,36589802,63 мм,"G1/4""","1,6",10 бар,Нержавеющая сталь
,36546497,63 мм,"G1/4""","1,6",16 бар,Нержавеющая сталь
,36589803,63 мм,"G1/4""","1,6",25 бар,Нержавеющая сталь
,36589804,63 мм,"G1/4""","1,6",40 бар,Нержавеющая сталь
,36589805,63 мм,"G1/4""","1,6",60 бар,Нержавеющая сталь
