#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Штуцер,Параметр:Заказной код:Диапазон давления
,31110492,63 мм,"G1/4""","1,6",-1…0 бар
,36523175,63 мм,"G1/4""","1,6","-1…1,5 бар"
,36523176,63 мм,"G1/4""","1,6",-1…3 бар
,36523177,63 мм,"G1/4""","1,6",-1…5 бар
,36523178,63 мм,"G1/4""","1,6",-1…9 бар
,36523179,63 мм,"G1/4""","1,6",-1…15 бар
,36523180,63 мм,"G1/4""","1,6","0,6 бар"
,36523181,63 мм,"G1/4""","1,6",1 бар
,36523182,63 мм,"G1/4""","1,6","1,6 бар"
,31110486,63 мм,"G1/4""","1,6","2,5 бар"
,31104199,63 мм,"G1/4""","1,6",4 бар
,31104197,63 мм,"G1/4""","1,6",6 бар
,31104198,63 мм,"G1/4""","1,6",10 бар
,31104200,63 мм,"G1/4""","1,6",16 бар
,31104201,63 мм,"G1/4""","1,6",25 бар
,36551333,63 мм,"G1/4""","1,6",40 бар
,31104195,63 мм,"G1/4""","1,6",60 бар
,31106912,63 мм,"G1/4""","1,6",100 бар
,31106876,63 мм,"G1/4""","1,6",160 бар
,31104194,63 мм,"G1/4""","1,6",250 бар
,31104196,63 мм,"G1/4""","1,6",400 бар
,31110474,63 мм,"G1/4""","1,6",600 бар
,36523193,63 мм,"G1/4""","1,6",-1…0 бар
,36523192,63 мм,"G1/4""","1,6","-1…1,5 бар"
,36523191,63 мм,"G1/4""","1,6",-1…3 бар
,36523190,63 мм,"G1/4""","1,6",-1…5 бар
,36523189,63 мм,"G1/4""","1,6",-1…9 бар
,36523188,63 мм,"G1/4""","1,6",-1…15 бар
,36523187,63 мм,"G1/4""","1,6","0,6 бар"
,36523186,63 мм,"G1/4""","1,6",1 бар
,36523185,63 мм,"G1/4""","1,6","1,6 бар"
,36523184,63 мм,"G1/4""","1,6","2,5 бар"
,36523183,63 мм,"G1/4""","1,6",4 бар
,31110484,63 мм,"G1/4""","1,6",6 бар
,31104202,63 мм,"G1/4""","1,6",10 бар
,31106936,63 мм,"G1/4""","1,6",16 бар
,31106890,63 мм,"G1/4""","1,6",25 бар
,31106887,63 мм,"G1/4""","1,6",40 бар
,36523194,63 мм,"G1/4""","1,6",60 бар
,31106954,63 мм,"G1/4""","1,6",100 бар
,31106873,63 мм,"G1/4""","1,6",160 бар
,31106947,63 мм,"G1/4""","1,6",250 бар
,31106896,63 мм,"G1/4""","1,6",400 бар
,31106950,63 мм,"G1/4""","1,6",600 бар
