#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Перегрузка,Параметр:Заказной код:Диапазон давления
,732-14-100-40-60,100мм,PN40,PN40,от 0 до 60 мбар
,732-14-100-40-100,100мм,PN40,PN40,от 0 до 100 мбар
,732-14-100-40-160,100мм,PN40,PN40,от 0 до 160 мбар
,732-14-100-40-250,100мм,PN40,PN40,от 0 до 250 мбар
,732-14-100-40-400,100мм,PN40,PN40,от 0 до 400 мбар
,"732-14-100-40-0,6",100мм,PN40,PN40,"от 0 до 0,6 бар"
,732-14-100-40-1,100мм,PN40,PN40,от 0 до 1 бар
,732-14-100-40-2,100мм,PN40,PN40,от 0 до 2 бар
,732-14-100-40-6,100мм,PN40,PN40,от 0 до 6 бар
,"732-14-100-40-2,5",100мм,PN40,PN40,"от 0 до 2,5 бар"
,732-14-100-40-4,100мм,PN40,PN40,от 0 до 4 бар
,732-14-100-40-6,100мм,PN40,PN40,от 0 до 6 бар
,732-14-100-40-10,100мм,PN40,PN40,от 0 до 10 бар
,732-14-100-40-16,100мм,PN40,PN40,от 0 до 16 бар
,732-14-100-100-60,100мм,PN100,PN100,от 0 до 60 мбар
,732-14-100-100-100,100мм,PN100,PN100,от 0 до 100 мбар
,732-14-100-100-160,100мм,PN100,PN100,от 0 до 160 мбар
,732-14-100-100-250,100мм,PN100,PN100,от 0 до 250 мбар
,732-14-100-100-400,100мм,PN100,PN100,от 0 до 400 мбар
,"732-14-100-100-0,6",100мм,PN100,PN100,"от 0 до 0,6 бар"
,732-14-100-100-1,100мм,PN100,PN100,от 0 до 1 бар
,732-14-100-100-2,100мм,PN100,PN100,от 0 до 2 бар
,732-14-100-100-6,100мм,PN100,PN100,от 0 до 6 бар
,"732-14-100-100-2,5",100мм,PN100,PN100,"от 0 до 2,5 бар"
,732-14-100-100-4,100мм,PN100,PN100,от 0 до 4 бар
,732-14-100-100-6,100мм,PN100,PN100,от 0 до 6 бар
,732-14-100-100-10,100мм,PN100,PN100,от 0 до 10 бар
,732-14-100-100-16,100мм,PN100,PN100,от 0 до 16 бар
