"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Конфигурация","Параметр:Код:Поверка"
,"G43-S-8G-100A-16mbar","от 0 до 16мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-25mbar","от 0 до 25мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-40mbar","от 0 до 40мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-60mbar","от 0 до 60мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-100mbar","от 0 до 100мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-160mbar","от 0 до 160мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-250mbar","от 0 до 250мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-400mbar","от 0 до 400мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-600mbar","от 0 до 600мбар","G 1/2","100мм","A","нет"
,"G43-S-8G-150A-16mbar","от 0 до 16мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-25mbar","от 0 до 25мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-40mbar","от 0 до 40мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-60mbar","от 0 до 60мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-100mbar","от 0 до 100мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-160mbar","от 0 до 160мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-250mbar","от 0 до 250мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-400mbar","от 0 до 400мбар","G 1/2","150мм","A","нет"
,"G43-S-8G-150A-600mbar","от 0 до 600мбар","G 1/2","150мм","A","нет"
,"G43-S-8N-100A-16mbar","от 0 до 16мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-25mbar","от 0 до 25мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-40mbar","от 0 до 40мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-60mbar","от 0 до 60мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-100mbar","от 0 до 100мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-160mbar","от 0 до 160мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-250mbar","от 0 до 250мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-400mbar","от 0 до 400мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-100A-600mbar","от 0 до 600мбар","NPT 1/2","100мм","A","нет"
,"G43-S-8N-150A-16mbar","от 0 до 16мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-25mbar","от 0 до 25мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-40mbar","от 0 до 40мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-60mbar","от 0 до 60мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-100mbar","от 0 до 100мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-160mbar","от 0 до 160мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-250mbar","от 0 до 250мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-400mbar","от 0 до 400мбар","NPT 1/2","150мм","A","нет"
,"G43-S-8N-150A-600mbar","от 0 до 600мбар","NPT 1/2","150мм","A","нет"
,"G43-S-20M-100A-16mbar","от 0 до 16мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-25mbar","от 0 до 25мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-40mbar","от 0 до 40мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-60mbar","от 0 до 60мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-100mbar","от 0 до 100мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-160mbar","от 0 до 160мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-250mbar","от 0 до 250мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-400mbar","от 0 до 400мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-100A-600mbar","от 0 до 600мбар","M20x1.5","100мм","A","нет"
,"G43-S-20M-150A-16mbar","от 0 до 16мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-25mbar","от 0 до 25мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-40mbar","от 0 до 40мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-60mbar","от 0 до 60мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-100mbar","от 0 до 100мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-160mbar","от 0 до 160мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-250mbar","от 0 до 250мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-400mbar","от 0 до 400мбар","M20x1.5","150мм","A","нет"
,"G43-S-20M-150A-600mbar","от 0 до 600мбар","M20x1.5","150мм","A","нет"
,"G43-S-8G-100A-1.6kPa","от 0 до 1.6кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-2.5kPa","от 0 до 2.5кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-4kPa","от 0 до 4кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-6kPa","от 0 до 6кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-10kPa","от 0 до 10кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-16kPa","от 0 до 16кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-25kPa","от 0 до 25кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-40kPa","от 0 до 40кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-100A-60kPa","от 0 до 60кПа","G 1/2","100мм","A","нет"
,"G43-S-8G-150A-1.6kPa","от 0 до 1.6кПа","G 1/2","150мм","A","нет"
