#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Давление
,G83-P-4N-75A-7bar,"NPT 1/4""",75мм,от 0 до 6.9бар
,G83-P-4N-75A-35bar,"NPT 1/4""",75мм,от 0 до 34.5бар
,G83-P-4N-75A-70bar,"NPT 1/4""",75мм,от 0 до 68.9бар
,G83-P-4N-75A-207bar,"NPT 1/4""",75мм,от 0 до 206.8бар
