#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления
,36595091,100 мм,G1/2,"1,6","0,6 бар (перегрузка до 100 бар)"
,36595092,100 мм,G1/2,"1,6","2,5 бар (перегрузка до 100 бар)"
,36595093,100 мм,G1/2,"1,6",6 бар (перегрузка до 100 бар)
,36595094,100 мм,G1/2,"1,6",10 бар (перегрузка до 100 бар)
,36595095,100 мм,G1/2,"1,6",16 бар (перегрузка до 100 бар)
,36595096,100 мм,G1/2,"1,6",25 бар (перегрузка до 100 бар)
,36595097,100 мм,G1/2,"1,6",40 бар (перегрузка до 100 бар)
