#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Давление,Параметр:Заказной код:Точность
,36586992,100 мм,"G1/2""",штампованная латунь,"0,6 бар",1
,36519124,100 мм,"G1/2""",штампованная латунь,"2,5 бар",1
,36499944,100 мм,"G1/2""",штампованная латунь,4 бар,1
,36501042,100 мм,"G1/2""",штампованная латунь,10 бар,1
,36519121,100 мм,"G1/2""",штампованная латунь,16 бар,1
,36546844,100 мм,"G1/2""",штампованная латунь,25 бар,1
,36586994,100 мм,"G1/2""",штампованная латунь,40 бар,1
,36586995,100 мм,"G1/2""",штампованная латунь,60 бар,1
,36586996,100 мм,"G1/2""",штампованная латунь,100 бар,1
,36519122,100 мм,"G1/2""",штампованная латунь,160 бар,1
,36509431,100 мм,"G1/2""",штампованная латунь,250 бар,1
,36509220,100 мм,"G1/2""",штампованная латунь,400 бар,1
,36554441,100 мм,"G1/2""",штампованная латунь,600 бар,1
,36586997,100 мм,"G1/2""",штампованная латунь,1000 бар,1
