#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления
,70313855,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6","-1…1,5 бар"
,45802064,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",-1…5 бар
,36564110,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",-1…9 бар
,68138182,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",0…4 бар
,48705651,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",0…10 бар
,47427081,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",0…16 бар
