#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36513990,1,100мм,"G 1/2""","0,6 бар",Нержавеющая сталь
,36499888,1,100мм,"G 1/2""","1,6 бар",Нержавеющая сталь
,36508477,1,100мм,"G 1/2""","2,5 бар",Нержавеющая сталь
,36500578,1,100мм,"G 1/2""",4 бар,Нержавеющая сталь
,36495119,1,100мм,"G 1/2""",6 бар,Нержавеющая сталь
,36499892,1,100мм,"G 1/2""",10 бар,Нержавеющая сталь
,36505334,1,100мм,"G 1/2""",16 бар,Нержавеющая сталь
,36498792,1,100мм,"G 1/2""",25 бар,Нержавеющая сталь
,36503381,1,100мм,"G 1/2""",40 бар,Нержавеющая сталь
,36554122,1,100мм,"G 1/2""",60 бар,Нержавеющая сталь
,36586536,1,100мм,"G 1/2""",70 бар,Нержавеющая сталь
,36521129,1,100мм,"G 1/2""",100 бар,Нержавеющая сталь
,36498793,1,100мм,"G 1/2""",160 бар,Нержавеющая сталь
,36498794,1,100мм,"G 1/2""",250 бар,Нержавеющая сталь
,36503808,1,100мм,"G 1/2""",400 бар,Нержавеющая сталь
,36505545,1,100мм,"G 1/2""",600 бар,Нержавеющая сталь
