#,Заказной код,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход,Параметр:Заказной код:Давление,Параметр:Заказной код:Температура,Параметр:Заказной код:Уплотнение
,VNZ-MF-4G-BR,BSPP 1/4'',BSPP 1/4'',400 бар,от -25°С до +240°С,FKM
,VNZ-MF-4N-BR,"NPT 1/4""","NPT 1/4""",400 бар,от -25°С до +240°С,FKM
,VNZ-MF-8G-BR,"BSPP 1/2""","BSPP 1/2""",400 бар,от -25°С до +240°С,FKM
,VNZ-MF-8N-BR,"NPT 1/2""","NPT 1/2""",400 бар,от -25°С до +240°С,FKM
,VNZ-MF-M12-BR,M12x1.5,M12x1.5,400 бар,от -25°С до +240°С,FKM
,VNZ-MF-M20-BR,M20x1.5,M20x1.5,400 бар,от -25°С до +240°С,FKM
