"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G40-C-8G-63A-16mbar","от 0 до 16мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-25mbar","от 0 до 25мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-40mbar","от 0 до 40мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-60mbar","от 0 до 60мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-100mbar","от 0 до 100мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-160mbar","от 0 до 160мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-250mbar","от 0 до 250мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-400mbar","от 0 до 400мбар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-0.6bar","от 0 до 0.6бар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-63A-1bar","от 0 до 1бар","G 1/2","63мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-16mbar","от 0 до 16мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-25mbar","от 0 до 25мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-40mbar","от 0 до 40мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-60mbar","от 0 до 60мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-100mbar","от 0 до 100мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-160mbar","от 0 до 160мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-250mbar","от 0 до 250мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
,"G40-C-8G-100A-400mbar","от 0 до 400мбар","G 1/2","100мм","нет","A-подсоединение снизу<br><img src=assets/inventory/g40-A.png>"
