#,Заказной код,Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Диапазон давлений,Параметр:Заказной код:Диаметр шкалы,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Форма микропереключателей
,"G69-A-8N-100D-0,2bar-1M",NPT 1/2 внутр.,"0-0,25 бар",100,Алюминий,SPDTx1
,"G69-A-8N-100D-0,2bar-2M",NPT 1/2 внутр.,"0-0,25 бар",100,Алюминий,SPDTx2
,"G69-A-8N-100D-0,2bar-MA",NPT 1/2 внутр.,"0-0,25 бар",100,Алюминий,4-20 мА
,"G69-A-4N-100D-0,2bar-1M",NPT 1/4 внутр.,"0-0,25 бар",100,Алюминий,SPDTx1
,"G69-A-4N-100D-0,2bar-2M",NPT 1/4 внутр.,"0-0,25 бар",100,Алюминий,SPDTx2
,"G69-A-4N-100D-0,2bar-MA",NPT 1/4 внутр.,"0-0,25 бар",100,Алюминий,4-20 мА
,"G69-S-8N-100D-0,2bar-1M",NPT 1/2 внутр.,"0-0,25 бар",100,SS316,SPDTx1
,"G69-S-8N-100D-0,2bar-2M",NPT 1/2 внутр.,"0-0,25 бар",100,SS316,SPDTx2
,"G69-S-8N-100D-0,2bar-MA",NPT 1/2 внутр.,"0-0,25 бар",100,SS316,4-20 мА
,"G69-S-4N-100D-0,2bar-1M",NPT 1/4 внутр.,"0-0,25 бар",100,SS316,SPDTx1
,"G69-S-4N-100D-0,2bar-2M",NPT 1/4 внутр.,"0-0,25 бар",100,SS316,SPDTx2
,"G69-S-4N-100D-0,2bar-MA",NPT 1/4 внутр.,"0-0,25 бар",100,SS316,4-20 мА
,"G69-A-8N-100D-0,5bar-1M",NPT 1/2 внутр.,"0-0,5 бар",100,Алюминий,SPDTx1
,"G69-A-8N-100D-0,5bar-2M",NPT 1/2 внутр.,"0-0,5 бар",100,Алюминий,SPDTx2
,"G69-A-8N-100D-0,5bar-MA",NPT 1/2 внутр.,"0-0,5 бар",100,Алюминий,4-20 мА
,"G69-A-4N-100D-0,5bar-1M",NPT 1/4 внутр.,"0-0,5 бар",100,Алюминий,SPDTx1
,"G69-A-4N-100D-0,5bar-2M",NPT 1/4 внутр.,"0-0,5 бар",100,Алюминий,SPDTx2
,"G69-A-4N-100D-0,5bar-MA",NPT 1/4 внутр.,"0-0,5 бар",100,Алюминий,4-20 мА
,"G69-S-8N-100D-0,5bar-1M",NPT 1/2 внутр.,"0-0,5 бар",100,SS316,SPDTx1
,"G69-S-8N-100D-0,5bar-2M",NPT 1/2 внутр.,"0-0,5 бар",100,SS316,SPDTx2
,"G69-S-8N-100D-0,5bar-MA",NPT 1/2 внутр.,"0-0,5 бар",100,SS316,4-20 мА
,"G69-S-4N-100D-0,5bar-1M",NPT 1/4 внутр.,"0-0,5 бар",100,SS316,SPDTx1
,"G69-S-4N-100D-0,5bar-2M",NPT 1/4 внутр.,"0-0,5 бар",100,SS316,SPDTx2
,"G69-S-4N-100D-0,5bar-MA",NPT 1/4 внутр.,"0-0,5 бар",100,SS316,4-20 мА
,"G69-A-8N-100D-0,6bar-1M",NPT 1/2 внутр.,"0-0,6 бар",100,Алюминий,SPDTx1
