#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36516945,"2,5","М12х1,5",пластик,-1…0 бар
,36516944,"2,5","М12х1,5",пластик,0…6 бар
,36516943,"2,5","М12х1,5",пластик,0…10 бар
,36516942,"2,5","М12х1,5",пластик,0…16 бар
,36516941,"2,5","М12х1,5",пластик,0…25 бар
,36516940,"2,5","М12х1,5",пластик,0…40 бар
,36532210,"2,5","G 1/4""",пластик,"0…0,6 бар"
,36532212,"2,5","G 1/4""",пластик,0…1 бар
,36532213,"2,5","G 1/4""",пластик,"0…1,6 бар"
,36532214,"2,5","G 1/4""",пластик,"0…2,5 бар"
,36532215,"2,5","G 1/4""",пластик,0…4 бар
,36532216,"2,5","G 1/4""",пластик,0…6 бар
,31105821,"2,5","G 1/4""",пластик,0…10 бар
,36532217,"2,5","G 1/4""",пластик,0…16 бар
,36532218,"2,5","G 1/4""",пластик,0…25 бар
