#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36589826,100 м,"G1/2""",1,1 бар,Нержавеющая сталь
,36562046,100 м,"G1/2""",1,4 бар,Нержавеющая сталь
,36589827,100 м,"G1/2""",1,10 бар,Нержавеющая сталь
,36579357,100 м,"G1/2""",1,16 бар,Нержавеющая сталь
,36589828,100 м,"G1/2""",1,25 бар,Нержавеющая сталь
,36589829,100 м,"G1/2""",1,40 бар,Нержавеющая сталь
,36589830,100 м,"G1/2""",1,70 бар,Нержавеющая сталь
,36589831,100 м,"G1/2""",1,100 бар,Нержавеющая сталь
,36589832,100 м,"G1/2""",1,160 бар,Нержавеющая сталь
,36589833,100 м,"G1/2""",1,250 бар,Нержавеющая сталь
,36589825,100 м,"G1/2""",1,400 бар,Нержавеющая сталь
