#,Заказной код,Параметр:Заказной код:Диаметр шкалы,Параметр:Заказной код:Диапазон давлений,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,"G64-S-4N-100D-0,6bar",100 мм,"0-0,6 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-0,8bar",100 мм,"0-0,8 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-0,9bar",100 мм,"0-0,9 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-2,1bar",100 мм,"0-2,1 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-2,8bar",100 мм,"0-2,8 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-4,1bar",100 мм,"0-4,1 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-6,9bar",100 мм,"0-6,9 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-9,7bar",100 мм,"0-9,7 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-100D-13,8bar",100 мм,"0-13,8 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-0,6bar",150 мм,"0-0,6 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-0,8bar",150 мм,"0-0,8 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-0,9bar",150 мм,"0-0,9 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-2,1bar",150 мм,"0-2,1 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-2,8bar",150 мм,"0-2,8 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-4,1bar",150 мм,"0-4,1 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-6,9bar",150 мм,"0-6,9 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-9,7bar",150 мм,"0-9,7 бар",SS316,"FNPT 1/4"""
,"G64-S-4N-150D-13,8bar",150 мм,"0-13,8 бар",SS316,"FNPT 1/4"""
