#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления,Параметр:Заказной код:Материал
,36590063,63 мм,"G1/4""","1,6",1 бар,Нержавеющая сталь
,36590065,63 мм,"G1/4""","1,6",4 бар,Нержавеющая сталь
,36552370,63 мм,"G1/4""","1,6",10 бар,Нержавеющая сталь
,36590066,63 мм,"G1/4""","1,6",16 бар,Нержавеющая сталь
,36590068,63 мм,"G1/4""","1,6",25 бар,Нержавеющая сталь
,36590071,63 мм,"G1/4""","1,6",40 бар,Нержавеющая сталь
,36590070,63 мм,"G1/4""","1,6",70 бар,Нержавеющая сталь
,36590073,63 мм,"G1/4""","1,6",100 бар,Нержавеющая сталь
,36590074,63 мм,"G1/4""","1,6",160 бар,Нержавеющая сталь
,36590076,63 мм,"G1/4""","1,6",250 бар,Нержавеющая сталь
,36590078,63 мм,"G1/4""","1,6",400 бар,Нержавеющая сталь
