#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36569894,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,1 бар
,36586512,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,"1,6 бар"
,36503033,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,4 бар
,36503034,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,10 бар
,36519309,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,16 бар
,36538985,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,25 бар
,36534683,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,40 бар
,36586515,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,70 бар
,36503037,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,100 бар
,36557229,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,160 бар
,36504644,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,250 бар
,36519167,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,400 бар
,36569895,"2,5",40 мм,"G 1/4""",Нержавеющая сталь,600 бар
