#,Заказной код,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Диапазон давления
,36532163,"2,5","G1/8""",пластик,"0…0,6 бар"
,36532165,"2,5","G1/8""",пластик,0…1 бар
,36532197,"2,5","G1/8""",пластик,"0…1,6 бар"
,36532198,"2,5","G1/8""",пластик,"0…2,5 бар"
,36532199,"2,5","G1/8""",пластик,0…4 бар
,36532201,"2,5","G1/8""",пластик,0…6 бар
,36532202,"2,5","G1/8""",пластик,0…10 бар
,9014209,"2,5","G1/8""",пластик,0…16 бар
,36532203,"2,5","G1/8""",пластик,0…25 бар
,36516934,"2,5","М12х1,5",пластик,-1…0 бар
,36516935,"2,5","М12х1,5",пластик,0…6 бар
,36516936,"2,5","М12х1,5",пластик,0…10 бар
,36516937,"2,5","М12х1,5",пластик,0…16 бар
,36516938,"2,5","М12х1,5",пластик,0…25 бар
,36516939,"2,5","М12х1,5",пластик,0…40 бар
