#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Класс точности,Параметр:Заказной код:Диапазон давления
,36595132,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6","-1…1,5 бар"
,48726190,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",-1…5 бар
,48700292,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",-1…9 бар
,45810604,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",0…4 бар
,46906470,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",0…10 бар
,36595134,100 мм,"клэмп BS4825 DN 1 1/2'""","1,6",0…16 бар
