#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу
,PSA2000W-10R-A-1-F-1,"0,7-7 бар",SS316,"FNPT 1/2"""
,PSA2000W-20R-A-1-F-1,"2,4-13,8 бар",SS316,"FNPT 1/2"""
,PSA2000W-30R-A-1-F-1,"3,4-20,7 бар",SS316,"FNPT 1/2"""
,PSA2000W-60R-A-1-F-1,"6,9-41,4 бар",SS316,"FNPT 1/2"""
,PSA2000W-130R-A-1-F-1,"13,8-90 бар",SS316,"FNPT 1/2"""
,PSA2000W-10R-A-2-F-1,"0,7-7 бар",SS316,"FNPT 1/4"""
,PSA2000W-20R-A-2-F-1,"2,4-13,8 бар",SS316,"FNPT 1/4"""
,PSA2000W-30R-A-2-F-1,"3,4-20,7 бар",SS316,"FNPT 1/4"""
,PSA2000W-60R-A-2-F-1,"6,9-41,4 бар",SS316,"FNPT 1/4"""
,PSA2000W-130R-A-2-F-1,"13,8-90 бар",SS316,"FNPT 1/4"""
,PSA2000W-10R-A-M-F-1,"0,7-7 бар",SS316,M20x1.5
,PSA2000W-20R-A-M-F-1,"2,4-13,8 бар",SS316,M20x1.5
,PSA2000W-30R-A-M-F-1,"3,4-20,7 бар",SS316,M20x1.5
,PSA2000W-60R-A-M-F-1,"6,9-41,4 бар",SS316,M20x1.5
,PSA2000W-130R-A-M-F-1,"13,8-90 бар",SS316,M20x1.5
