"#","Код","Параметр:Код:Давление","Параметр:Код:Подсоединение","Параметр:Код:Размер шкалы","Параметр:Код:Поверка","Параметр:Код:Конфигурация"
,"G10-C-2G-40A-0,6bar","от 0 до 0.6бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-1bar","от 0 до 1бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-1,6bar","от 0 до 1.6бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-2,5bar","от 0 до 2.5бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-4bar","от 0 до 4бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-6bar","от 0 до 6бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-10bar","от 0 до 10бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-16bar","от 0 до 16бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-25bar","от 0 до 25бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-40bar","от 0 до 40бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-60bar","от 0 до 60бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-100bar","от 0 до 100бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-160bar","от 0 до 160бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-250bar","от 0 до 250бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-2G-40A-400bar","от 0 до 400бар","G 1/8","40мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-0,6bar","от 0 до 0.6бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-1bar","от 0 до 1бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-1,6bar","от 0 до 1.6бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-2,5bar","от 0 до 2.5бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-4bar","от 0 до 4бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-6bar","от 0 до 6бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-10bar","от 0 до 10бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-16bar","от 0 до 16бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-25bar","от 0 до 25бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-40bar","от 0 до 40бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-60bar","от 0 до 60бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-100bar","от 0 до 100бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-160bar","от 0 до 160бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-250bar","от 0 до 250бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-50A-400bar","от 0 до 400бар","G 1/4","50мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-0,6bar","от 0 до 0.6бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
,"G10-C-4G-63A-1bar","от 0 до 1бар","G 1/4","63мм","нет","<img src=assets/inventory/A.png>"
