#,Заказной код,Параметр:Заказной код:Диаметр,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Перегрузка,Параметр:Заказной код:Диапазон давления
,732-14-160-40-60,160мм,PN40,PN40,от 0 до 60 мбар
,732-14-160-40-100,160мм,PN40,PN40,от 0 до 100 мбар
,732-14-160-40-160,160мм,PN40,PN40,от 0 до 160 мбар
,732-14-160-40-250,160мм,PN40,PN40,от 0 до 250 мбар
,732-14-160-40-400,160мм,PN40,PN40,от 0 до 400 мбар
,"732-14-160-40-0,6",160мм,PN40,PN40,"от 0 до 0,6 бар"
,732-14-160-40-1,160мм,PN40,PN40,от 0 до 1 бар
,732-14-160-40-2,160мм,PN40,PN40,от 0 до 2 бар
,732-14-160-40-6,160мм,PN40,PN40,от 0 до 6 бар
,"732-14-160-40-2,5",160мм,PN40,PN40,"от 0 до 2,5 бар"
,732-14-160-40-4,160мм,PN40,PN40,от 0 до 4 бар
,732-14-160-40-6,160мм,PN40,PN40,от 0 до 6 бар
,732-14-160-40-10,160мм,PN40,PN40,от 0 до 10 бар
,732-14-160-40-16,160мм,PN40,PN40,от 0 до 16 бар
,732-14-160-100-60,160мм,PN100,PN100,от 0 до 60 мбар
,732-14-160-100-100,160мм,PN100,PN100,от 0 до 100 мбар
,732-14-160-100-160,160мм,PN100,PN100,от 0 до 160 мбар
,732-14-160-100-250,160мм,PN100,PN100,от 0 до 250 мбар
,732-14-160-100-400,160мм,PN100,PN100,от 0 до 400 мбар
,"732-14-160-100-0,6",160мм,PN100,PN100,"от 0 до 0,6 бар"
,732-14-160-100-1,160мм,PN100,PN100,от 0 до 1 бар
,732-14-160-100-2,160мм,PN100,PN100,от 0 до 2 бар
,732-14-160-100-6,160мм,PN100,PN100,от 0 до 6 бар
,"732-14-160-100-2,5",160мм,PN100,PN100,"от 0 до 2,5 бар"
,732-14-160-100-4,160мм,PN100,PN100,от 0 до 4 бар
,732-14-160-100-6,160мм,PN100,PN100,от 0 до 6 бар
,732-14-160-100-10,160мм,PN100,PN100,от 0 до 10 бар
,732-14-160-100-16,160мм,PN100,PN100,от 0 до 16 бар
