pagetitle,15;16;17;21;80;87;88;93;96;108;6;111;112;19;104
"G10-C-2G-40A-0,6bar";"";"подсоединение снизу";"от 0 до 0.6бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";"Углеродистая сталь::Корпус|1|1//Латунь::Штуцер|1|1";;;;;;
"G10-C-2G-40A-1bar";"";"подсоединение снизу";"от 0 до 1бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";"Углеродистая сталь::Корпус|1|1//Латунь::Штуцер|1|1";"assets/images/manom/1/A.png";"-40";"60";;;
"G10-C-2G-40A-1,6bar";"";"подсоединение снизу";"от 0 до 1.6бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
"G10-C-2G-40A-2,5bar";"";"подсоединение снизу";"от 0 до 2.5бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
"G10-C-2G-40A-4bar";"";"подсоединение снизу";"от 0 до 4бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
"G10-C-2G-40A-6bar";"";"подсоединение снизу";"от 0 до 6бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
"G10-C-2G-40A-10bar";"";"подсоединение снизу";"от 0 до 10бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
"G10-C-2G-40A-16bar";"";"подсоединение снизу";"от 0 до 16бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
"G10-C-2G-40A-25bar";"";"подсоединение снизу";"от 0 до 25бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
"G10-C-2G-40A-40bar";"";"подсоединение снизу";"от 0 до 40бар";"G 1/8";"40мм";"A";"A-подсоединение снизу";"нет";"<img src=assets/images/manom/A.png>";;"assets/images/manom/1/A.png";;;;;
