#,Заказной код,Параметр:Заказной код:Давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Размер шкалы,Параметр:Заказной код:Конфигурация,Параметр:Заказной код:Поверка
,G62-A-2G-114D-10mbar,от 0 до 10мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-15mbar,от 0 до 15мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-20mbar,от 0 до 20мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-30mbar,от 0 до 30мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-40mbar,от 0 до 40мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-50mbar,от 0 до 50мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-80mbar,от 0 до 80мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-100mbar,от 0 до 100мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-150mbar,от 0 до 150мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-200mbar,от 0 до 200мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-250mbar,от 0 до 250мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-300mbar,от 0 до 300мбар,G 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-10mbar,от 0 до 10мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-15mbar,от 0 до 15мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-20mbar,от 0 до 20мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-30mbar,от 0 до 30мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-40mbar,от 0 до 40мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-50mbar,от 0 до 50мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-80mbar,от 0 до 80мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-100mbar,от 0 до 100мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-150mbar,от 0 до 150мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-200mbar,от 0 до 200мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-250mbar,от 0 до 250мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-2N-114D-300mbar,от 0 до 300мбар,NPT 1/8,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-10mbar,от 0 до 10мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-15mbar,от 0 до 15мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-20mbar,от 0 до 20мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-30mbar,от 0 до 30мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-40mbar,от 0 до 40мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-50mbar,от 0 до 50мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-80mbar,от 0 до 80мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-100mbar,от 0 до 100мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-150mbar,от 0 до 150мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-200mbar,от 0 до 200мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-250mbar,от 0 до 250мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-10M-114D-300mbar,от 0 до 300мбар,M10x1,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-10mbar,от 0 до 10мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-15mbar,от 0 до 15мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-20mbar,от 0 до 20мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-30mbar,от 0 до 30мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-40mbar,от 0 до 40мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-50mbar,от 0 до 50мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-80mbar,от 0 до 80мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-100mbar,от 0 до 100мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-150mbar,от 0 до 150мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-200mbar,от 0 до 200мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-250mbar,от 0 до 250мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4N-114D-300mbar,от 0 до 300мбар,NPT 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-10mbar,от 0 до 10мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-15mbar,от 0 до 15мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-20mbar,от 0 до 20мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-30mbar,от 0 до 30мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-40mbar,от 0 до 40мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-50mbar,от 0 до 50мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-80mbar,от 0 до 80мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-100mbar,от 0 до 100мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-150mbar,от 0 до 150мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-200mbar,от 0 до 200мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-250mbar,от 0 до 250мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-4G-114D-300mbar,от 0 до 300мбар,G 1/4,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-10mbar,от 0 до 10мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-15mbar,от 0 до 15мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-20mbar,от 0 до 20мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-30mbar,от 0 до 30мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-40mbar,от 0 до 40мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-50mbar,от 0 до 50мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-80mbar,от 0 до 80мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-100mbar,от 0 до 100мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-150mbar,от 0 до 150мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-200mbar,от 0 до 200мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-250mbar,от 0 до 250мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-12M-114D-300mbar,от 0 до 300мбар,M12x1.5,114мм,D-штуцера сзади,нет
,G62-A-2G-114D-10mbar-VE,от 0 до 10мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-15mbar-VE,от 0 до 15мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-20mbar-VE,от 0 до 20мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-30mbar-VE,от 0 до 30мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-40mbar-VE,от 0 до 40мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-50mbar-VE,от 0 до 50мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-80mbar-VE,от 0 до 80мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-100mbar-VE,от 0 до 100мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-150mbar-VE,от 0 до 150мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-200mbar-VE,от 0 до 200мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-250mbar-VE,от 0 до 250мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2G-114D-300mbar-VE,от 0 до 300мбар,G 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-10mbar-VE,от 0 до 10мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-15mbar-VE,от 0 до 15мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-20mbar-VE,от 0 до 20мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-30mbar-VE,от 0 до 30мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-40mbar-VE,от 0 до 40мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-50mbar-VE,от 0 до 50мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-80mbar-VE,от 0 до 80мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-100mbar-VE,от 0 до 100мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-150mbar-VE,от 0 до 150мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-200mbar-VE,от 0 до 200мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-250mbar-VE,от 0 до 250мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-2N-114D-300mbar-VE,от 0 до 300мбар,NPT 1/8,114мм,D-штуцера сзади,да
,G62-A-10M-114D-10mbar-VE,от 0 до 10мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-15mbar-VE,от 0 до 15мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-20mbar-VE,от 0 до 20мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-30mbar-VE,от 0 до 30мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-40mbar-VE,от 0 до 40мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-50mbar-VE,от 0 до 50мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-80mbar-VE,от 0 до 80мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-100mbar-VE,от 0 до 100мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-150mbar-VE,от 0 до 150мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-200mbar-VE,от 0 до 200мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-250mbar-VE,от 0 до 250мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-10M-114D-300mbar-VE,от 0 до 300мбар,M10x1,114мм,D-штуцера сзади,да
,G62-A-4N-114D-10mbar-VE,от 0 до 10мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-15mbar-VE,от 0 до 15мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-20mbar-VE,от 0 до 20мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-30mbar-VE,от 0 до 30мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-40mbar-VE,от 0 до 40мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-50mbar-VE,от 0 до 50мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-80mbar-VE,от 0 до 80мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-100mbar-VE,от 0 до 100мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-150mbar-VE,от 0 до 150мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-200mbar-VE,от 0 до 200мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-250mbar-VE,от 0 до 250мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4N-114D-300mbar-VE,от 0 до 300мбар,NPT 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-10mbar-VE,от 0 до 10мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-15mbar-VE,от 0 до 15мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-20mbar-VE,от 0 до 20мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-30mbar-VE,от 0 до 30мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-40mbar-VE,от 0 до 40мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-50mbar-VE,от 0 до 50мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-80mbar-VE,от 0 до 80мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-100mbar-VE,от 0 до 100мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-150mbar-VE,от 0 до 150мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-200mbar-VE,от 0 до 200мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-250mbar-VE,от 0 до 250мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-4G-114D-300mbar-VE,от 0 до 300мбар,G 1/4,114мм,D-штуцера сзади,да
,G62-A-12M-114D-10mbar-VE,от 0 до 10мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-15mbar-VE,от 0 до 15мбар,M12x1.5,114мм,D-штуцера сзади,да
,G62-A-12M-114D-20mbar-VE,от 0 до 20мбар,M12x1.5,114мм,D-штуцера сзади,да
