#,Заказной код,Параметр:Заказной код:Диапазон давления,"Параметр:Заказной код:Детали, контактирующие со средой",Параметр:Заказной код:Подсоединение к процессу,Параметр:Заказной код:Тип взрывозащиты 
,DPS2200X-10R-A-1-F-1-A,400~1900мм водян.столба,SS316,"FNPT 1/2""",A*
,DPS2200X-10R-A-1-F-1-B,400~1900мм водян.столба,SS316,"FNPT 1/2""",B*
,DPS2200X-10R-A-1-F-1-C,400~1900мм водян.столба,SS316,"FNPT 1/2""",C*
,DPS2200X-10R-A-2-F-1-A,400~1900мм водян.столба,SS316,"FNPT 1/4"", стандарт",A*
,DPS2200X-10R-A-2-F-1-B,400~1900мм водян.столба,SS316,"FNPT 1/4"", стандарт",B*
,DPS2200X-10R-A-2-F-1-C,400~1900мм водян.столба,SS316,"FNPT 1/4"", стандарт",C*
,DPS2200X-20R-A-1-F-1-A,1000~10000мм водян.столба,SS316,"FNPT 1/2""",A*
,DPS2200X-20R-A-1-F-1-B,1000~10000мм водян.столба,SS316,"FNPT 1/2""",B*
,DPS2200X-20R-A-1-F-1-C,1000~10000мм водян.столба,SS316,"FNPT 1/2""",C*
,DPS2200X-20R-A-2-F-1-A,1000~10000мм водян.столба,SS316,"FNPT 1/4"", стандарт",A*
,DPS2200X-20R-A-2-F-1-B,1000~10000мм водян.столба,SS316,"FNPT 1/4"", стандарт",B*
,DPS2200X-20R-A-2-F-1-C,1000~10000мм водян.столба,SS316,"FNPT 1/4"", стандарт",C*
,DPS2200X-10R-A-M-F-1-A,400~1900мм водян.столба,SS316,M20x1.5,A*
,DPS2200X-10R-A-M-F-1-B,400~1900мм водян.столба,SS316,M20x1.5,B*
,DPS2200X-10R-A-M-F-1-C,400~1900мм водян.столба,SS316,M20x1.5,C*
,DPS2200X-20R-A-M-F-1-A,1000~10000мм водян.столба,SS316,M20x1.5,A*
,DPS2200X-20R-A-M-F-1-B,1000~10000мм водян.столба,SS316,M20x1.5,B*
,DPS2200X-20R-A-M-F-1-C,1000~10000мм водян.столба,SS316,M20x1.5,C*
