#,Заказной код,Параметр:Заказной код:Давление срабатывания,Параметр:Заказной код:Давление настройки,Параметр:Заказной код:Вход,Параметр:Заказной код:Выход
,VPPB-8N-E-4bar,4-6 бар,4 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPB-8N-F-6bar,6-10 бар,6 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPB-8N-G-10bar,10-16 бар,10 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPB-8N-H-16bar,16-25 бар,16 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPB-8N-J-25bar,25-40 бар,25 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPB-8N-K-40bar,40-60 бар,40 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPB-8N-L-60bar,60-100 бар,60 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPB-8N-M-100bar,100-160 бар,100 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPC-8N-N-160bar,160-200 бар,160 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр."
,VPPC-8N-P-250bar,250-300 бар,250 бар,"NPT 1/2"" наруж.","NPT 1/2"" внутр"
