#;Заказной код;Размер;Параметр:Размер:Размер резьбы (внутрен.);Параметр:Размер:Tx;Параметр:Размер:H;Параметр:Размер:E;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;KP-A;"""01";"G 1/8""";10;2;16;-;CU;Медь
;;"""03";"G 1/4""";14;2;19.5;BRAS;BRAS;Латунь
;;"""05";"G 3/8""";17;2;24;STEL;STEL;Углеродистая сталь
;;"""07";"G 1/2""";22;2;29;;;
;;"""11";"G 3/4""";27;2;34.5;;;
;;"""16";"G 1""";34;2;42;;;
;;"""M20";M20x1.5;20;2;28;;;
