#,Заказной код,Параметр:Заказной код:Материал корпуса,Параметр:Заказной код:Подсоединение
,L-SLA-AC-B2-07,Алюминий,"NPT 2"" наруж."
,L-SLA-AC-B2-01,Алюминий,"BSPT 2"" наруж."
