#,Заказной код,Параметр:Заказной код:Материал фланца,Параметр:Заказной код:Фланец,Параметр:Заказной код:Полная длина
,LQ-06-A-A-P-1-1-1-1-S-L=6000mm,PVC,"ANSI 150# 4""",6000мм
,LQ-06-A-A-P-1-1-2-1-S-L=6000mm,PVC,"ANSI 150# 6""",6000мм
,LQ-06-A-A-P-2-1-1-1-S-L=6000mm,PP,"ANSI 150# 4""",6000мм
,LQ-06-A-A-P-2-1-2-1-S-L=6000mm,PP,"ANSI 150# 6""",6000мм
,LQ-06-A-A-P-1-1-1-G10-S-L=6000mm,PVC,Гост Py10 Dy100,6000мм
,LQ-06-A-A-P-2-1-1-G10-S-L=6000mm,PP,Гост Py10 Dy100,6000мм
,LQ-06-A-A-P-1-1-1-G16-S-L=6000mm,PVC,Гост Py16 Dy100,6000мм
,LQ-06-A-A-P-2-1-1-G16-S-L=6000mm,PP,Гост Py16 Dy100,6000мм
