#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Давление,Параметр:Заказной код:Длина ввода L,Параметр:Заказной код:Диапазон измерения
,36674637,фланец DN50,40 бар,550 мм,500 мм
,36674639,фланец DN50,40 бар,1050 мм,1000 мм
,36674645,фланец DN50,40 бар,1550 мм,1500 мм
,36674647,фланец DN50,40 бар,2050 мм,2000 мм
,36674649,фланец DN50,40 бар,2550 мм,2500 мм
,36674651,фланец DN50,40 бар,3050 мм,3000 мм
,36674654,фланец DN50,40 бар,3550 мм,3500 мм
,36674656,фланец DN50,40 бар,4050 мм,4000 мм
,36674657,фланец DN50,40 бар,4550 мм,4500 мм
,36674658,фланец DN50,40 бар,5050 мм,5000 мм
,36674660,фланец DN50,40 бар,5550 мм,5500 мм
,36674661,фланец DN65,40 бар,550 мм,500 мм
,36674662,фланец DN65,40 бар,1050 мм,1000 мм
,36674664,фланец DN65,40 бар,1550 мм,1500 мм
,36674666,фланец DN65,40 бар,2050 мм,2000 мм
,36674669,фланец DN65,40 бар,2550 мм,2500 мм
,36674674,фланец DN65,40 бар,3050 мм,3000 мм
,36674677,фланец DN65,40 бар,3550 мм,3500 мм
,36674695,фланец DN65,40 бар,4050 мм,4000 мм
,36674692,фланец DN65,40 бар,4550 мм,4500 мм
,36674690,фланец DN65,40 бар,5050 мм,5000 мм
,36674687,фланец DN65,40 бар,5550 мм,5500 мм
,36674697,фланец DN80,40 бар,550 мм,500 мм
,36674702,фланец DN80,40 бар,1050 мм,1000 мм
,36674704,фланец DN80,40 бар,1550 мм,1500 мм
,36674706,фланец DN80,40 бар,2050 мм,2000 мм
,36674708,фланец DN80,40 бар,2550 мм,2500 мм
,36674710,фланец DN80,40 бар,3050 мм,3000 мм
,36674723,фланец DN80,40 бар,3550 мм,3500 мм
,36674724,фланец DN80,40 бар,4050 мм,4000 мм
,36674725,фланец DN80,40 бар,4550 мм,4500 мм
,36674726,фланец DN80,40 бар,5050 мм,5000 мм
,36674727,фланец DN80,40 бар,5550 мм,5500 мм
,36674728,фланец DN100,40 бар,550 мм,500 мм
,36674729,фланец DN100,40 бар,1050 мм,1000 мм
,36674730,фланец DN100,40 бар,1550 мм,1500 мм
,36674731,фланец DN100,40 бар,2050 мм,2000 мм
,36674732,фланец DN100,40 бар,2550 мм,2500 мм
,36674733,фланец DN100,40 бар,3050 мм,3000 мм
,36674734,фланец DN100,40 бар,3550 мм,3500 мм
,36674735,фланец DN100,40 бар,4050 мм,4000 мм
,36674736,фланец DN100,40 бар,4550 мм,4500 мм
,36674737,фланец DN100,40 бар,5050 мм,5000 мм
,36674738,фланец DN100,40 бар,5550 мм,5500 мм
