#,Заказной код,Параметр:Заказной код:Материал фланца,Параметр:Заказной код:Переключатель,Параметр:Заказной код:Дополнительно
,LT202-S-1-1-0,SS316,один,без тестера
,LT202-S-1-2-0,SS316,два,без тестера
,LT202-T-1-1-A,SS316,один,трубка с тестером
,LT202-T-1-2-A,SS316,два,трубка с тестером
,LT202-T-1-1-B,SS316,один,фланец
,LT202-T-1-2-B,SS316,два,фланец
,LT202-T-1-1-C,SS316,один,фланец
,LT202-T-1-2-C,SS316,два,фланец
,LT202-T-1-1-D,SS316,один,фланец с тестером
,LT202-T-1-2-D,SS316,два,фланец с тестером
,LT202-T-1-1-E,SS316,один,фланец с тестером
,LT202-T-1-2-E,SS316,два,фланец с тестером
