#,Заказной код,Параметр:Заказной код:Фланец,Параметр:Заказной код:Материал фланца
,LT204-1-C-1-2,"ANSI 150 1 1/2""",SS316
,LT204-1-C-2-2,"ANSI 150 1 1/2""",SS304
,LT204-1-D-1-2,"ANSI 300 1 1/2""",SS316
,LT204-1-D-2-2,"ANSI 300 1 1/2""",SS304
,LT204-1-G10-1-2,Гост Py10 Dy40,SS316
,LT204-1-G10-2-2,Гост Py10 Dy40,SS304
,LT204-1-G16-1-2,Гост Py16 Dy40,SS316
,LT204-1-G16-2-2,Гост Py16 Dy40,SS304
,LT204-1-G25-1-2,Гост Py25 Dy40,SS316
,LT204-1-G25-2-2,Гост Py25 Dy40,SS304
,LT204-2-C-1-2,"ANSI 150 2""",SS316
,LT204-2-C-2-2,"ANSI 150 2""",SS304
,LT204-2-D-1-2,"ANSI 300 2""",SS316
,LT204-2-D-2-2,"ANSI 300 2""",SS304
,LT204-2-G10-1-2,Гост Py10 Dy50,SS316
,LT204-2-G10-2-2,Гост Py10 Dy50,SS304
,LT204-2-G16-1-2,Гост Py16 Dy50,SS316
,LT204-2-G16-2-2,Гост Py16 Dy50,SS304
,LT204-2-G25-1-2,Гост Py25 Dy50,SS316
,LT204-2-G25-2-2,Гост Py25 Dy50,SS304
,LT204-3-C-1-2,"ANSI 150 3""",SS316
,LT204-3-C-2-2,"ANSI 150 3""",SS304
,LT204-3-D-1-2,"ANSI 300 3""",SS316
,LT204-3-D-2-2,"ANSI 300 3""",SS304
,LT204-3-G10-1-2,Гост Py10 Dy80,SS316
,LT204-3-G10-2-2,Гост Py10 Dy80,SS304
,LT204-3-G16-1-2,Гост Py16 Dy80,SS316
,LT204-3-G16-2-2,Гост Py16 Dy80,SS304
,LT204-3-G25-1-2,Гост Py25 Dy80,SS316
,LT204-3-G25-2-2,Гост Py25 Dy80,SS304
,LT204-4-C-1-2,"ANSI 150 4""",SS316
,LT204-4-C-2-2,"ANSI 150 4""",SS304
,LT204-4-D-1-2,"ANSI 300 4""",SS316
,LT204-4-D-2-2,"ANSI 300 4""",SS304
,LT204-4-G10-1-2,Гост Py10 Dy100,SS316
,LT204-4-G10-2-2,Гост Py10 Dy100,SS304
,LT204-4-G16-1-2,Гост Py16 Dy100,SS316
,LT204-4-G16-2-2,Гост Py16 Dy100,SS304
,LT204-4-G25-1-2,Гост Py25 Dy100,SS316
,LT204-4-G25-2-2,Гост Py25 Dy100,SS304
