#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Длина устройства
,MLG-B-3-A,"NPT 1/4""",SS316,150 мм
,MLG-B-3-B,"NPT 1/4""",SS316,250 мм
,MLG-D-3-A,"NPT 3/8""",SS316,150 мм
,MLG-D-3-B,"NPT 3/8""",SS316,250 мм
,MLG-F-3-A,"NPT 1/2""",SS316,150 мм
,MLG-F-3-B,"NPT 1/2""",SS316,250 мм
