#,Заказной код,Параметр:Заказной код:Тип,Параметр:Заказной код:Модель,Параметр:Заказной код:Поплавок,Параметр:Заказной код:Подсоединение
,LR-S-201-2-S-1-1,Стандартный,Общее применение,SS316,"MNPT 1/2"""
,LR-S-201-2-S-2-1,Стандартный,Общее применение,SS316,"MNPT 3/4"""
,LR-S-201-2-S-3-1,Стандартный,Общее применение,SS316,"MNPT 1"""
,LR-E-201-2-S-1-1,С удлиненным плечом,Общее применение,SS316,"MNPT 1/2"""
,LR-E-201-2-S-2-1,С удлиненным плечом,Общее применение,SS316,"MNPT 3/4"""
,LR-E-201-2-S-3-1,С удлиненным плечом,Общее применение,SS316,"MNPT 1"""
,LR-S-201W-2-S-1-1,Стандартный,IP65,SS316,"MNPT 1/2"""
,LR-S-201W-2-S-2-1,Стандартный,IP65,SS316,"MNPT 3/4"""
,LR-E-201W-2-S-1-1,С удлиненным плечом,IP65,SS316,"MNPT 1/2"""
,LR-E-201W-2-S-2-1,С удлиненным плечом,IP65,SS316,"MNPT 3/4"""
,LR-S-201X-2-S-1-1,Стандартный,Взрывозащита,SS316,"MNPT 1/2"""
,LR-S-201X-2-S-2-1,Стандартный,Взрывозащита,SS316,"MNPT 3/4"""
,LR-E-201X-2-S-1-1,С удлиненным плечом,Взрывозащита,SS316,"MNPT 1/2"""
,LR-E-201X-2-S-2-1,С удлиненным плечом,Взрывозащита,SS316,"MNPT 3/4"""
