#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Длина (мм),Параметр:Заказной код:Шкала,"Параметр:Заказной код:Материал деталей, контактирующих со средой"
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,NPT 1/2 наруж.,500,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,NPT 1/2 наруж.,500,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,ANSI 150# 1/2,500,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,ANSI 150# 1/2,500,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,Гост Py10 Dy15,500,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,Гост Py10 Dy15,500,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,Гост Py16 Dy15,500,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,Гост Py16 Dy15,500,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,NPT 3/4 наруж.,500,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,NPT 3/4 наруж.,500,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,ANSI 150# 3/4,500,Со шкалой,SS316
,SN-B-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,ANSI 150# 3/4,500,Без шкалы,SS316
,SN-B-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,Гост Py10 Dy20,500,Со шкалой,SS316
,SN-B-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,Гост Py10 Dy20,500,Без шкалы,SS316
,SN-B-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,Гост Py16 Dy20,500,Со шкалой,SS316
,SN-B-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,Гост Py16 Dy20,500,Без шкалы,SS316
,SN-C-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,NPT 1 наруж.,500,Со шкалой,SS316
,SN-C-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,NPT 1 наруж.,500,Без шкалы,SS316
,SN-C-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,ANSI 150# 1,500,Со шкалой,SS316
,SN-C-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,ANSI 150# 1,500,Без шкалы,SS316
,SN-C-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,Гост Py10 Dy25,500,Со шкалой,SS316
,SN-C-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,Гост Py10 Dy25,500,Без шкалы,SS316
,SN-C-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-500mm,Гост Py16 Dy25,500,Со шкалой,SS316
,SN-C-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-500mm,Гост Py16 Dy25,500,Без шкалы,SS316
,SN-A-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,NPT 1/2 наруж.,600,Со шкалой,SS316
,SN-A-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,NPT 1/2 наруж.,600,Без шкалы,SS316
,SN-A-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,ANSI 150# 1/2,600,Со шкалой,SS316
,SN-A-4-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,ANSI 150# 1/2,600,Без шкалы,SS316
,SN-A-G10-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,Гост Py10 Dy15,600,Со шкалой,SS316
,SN-A-G10-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,Гост Py10 Dy15,600,Без шкалы,SS316
,SN-A-G16-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,Гост Py16 Dy15,600,Со шкалой,SS316
,SN-A-G16-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,Гост Py16 Dy15,600,Без шкалы,SS316
,SN-B-2-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,NPT 3/4 наруж.,600,Со шкалой,SS316
,SN-B-2-S-S-A-0-0-0-B-0-Sp.Gr.1-No-600mm,NPT 3/4 наруж.,600,Без шкалы,SS316
,SN-B-4-S-S-A-0-0-0-A-0-Sp.Gr.1-No-600mm,ANSI 150# 3/4,600,Со шкалой,SS316
