pagetitle,15;16;59;60;67;80;81;83;86;87;88;89;90;6
"LT-LTFA-D-W-A-F(C)-2-1-B-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";;
"LT-LTFA-D-W-A-F(C)-2-1-B-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-2-B-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-2-B-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-3-B-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-3-B-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-4-B-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-4-B-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-1-A-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-1-A-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-2-A-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-2-A-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"IP65 или IP67";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-3-A-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-3-A-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-4-A-B-L=500мм-l1=___мм-D";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-4-A-B-L=500мм-l1=___мм-N";"";"ANSI 150# 2";"500";"SS316";"Взрывозащита";"&#216;75";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-1-B-B-L=1000мм-l1=___мм-D";"";"ANSI 150# 2";"1000";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HN";"NPT 1/2";"l1=___мм";"Да";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-1-B-B-L=1000мм-l1=___мм-N";"";"ANSI 150# 2";"1000";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HN";"NPT 1/2";"l1=___мм";"Нет";"HN, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-2-B-B-L=1000мм-l1=___мм-D";"";"ANSI 150# 2";"1000";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HP";"NPT 1/2";"l1=___мм";"Да";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-W-A-F(C)-2-2-B-B-L=1000мм-l1=___мм-N";"";"ANSI 150# 2";"1000";"SS316";"IP65 или IP67";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"HP";"NPT 1/2";"l1=___мм";"Нет";"HP, Защита - IP65 или IP67";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-3-B-B-L=1000мм-l1=___мм-D";"";"ANSI 150# 2";"1000";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDS";"NPT 1/2";"l1=___мм";"Да";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-3-B-B-L=1000мм-l1=___мм-N";"";"ANSI 150# 2";"1000";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDS";"NPT 1/2";"l1=___мм";"Нет";"XDS, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-4-B-B-L=1000мм-l1=___мм-D";"";"ANSI 150# 2";"1000";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDA";"NPT 1/2";"l1=___мм";"Да";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
"LT-LTFA-D-X-A-F(C)-2-4-B-B-L=1000мм-l1=___мм-N";"";"ANSI 150# 2";"1000";"SS316";"Взрывозащита";"&#216;49";"LTFA<br/><img src=products/control-level/float-level-transmitters/ltfa.png/>";"XDA";"NPT 1/2";"l1=___мм";"Нет";"XDA, Защита - Взрывозащита";"Фланцевое соединение";"assets/images/ltfa.png";
