#,Заказной код,Параметр:Заказной код:Объем,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,
,SCB-75-S-124-F4N-S6,75 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316,
,SCB-150-S-124-F4N-S6,150 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316,
,SCB-300-S-124-F4N-S6,300 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316,
,SCB-500-S-124-F4N-S6,500 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316,
,SCB-1000-S-124-F8N-S6,1000 мл,124 бар,"NPT ½""",Нерж. Сталь SS316,
