#,Заказной код,"Параметр:Заказной код:Объем, литр","Параметр:Заказной код:Давление, бар",Параметр:Заказной код:Материал
,CYLB-73-1.0-15-F4N-AL,1,150,Алюминий
,CYLB-108-2.0-15-F4N-AL,2,150,Алюминий
,CYLB-108-2.5-15-F4N-AL,"2,5",150,Алюминий
,CYLB-140-4.0-15-F4N-AL,4,150,Алюминий
,CYLB-140-5.0-15-F4N-AL,5,150,Алюминий
,CYLB-140-6.0-15-F4N-AL,6,150,Алюминий
,CYLB-140-7.0-15-F4N-AL,7,150,Алюминий
