#,Заказной код,Параметр:Заказной код:Объем,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал
,8LD1000,1000 мл,28 бар,"NPT ½""",Нерж. Сталь S304
,8LD1G,1 гал.,28 бар,"NPT ½""",Нерж. Сталь S304
,4HD75,75 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,4HD150,150 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,6HD150,150 мл,124 бар,"NPT 3⁄8""",Нерж. Сталь S304
,4HD300,300 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,6HD300,300 мл,124 бар,"NPT 3⁄8""",Нерж. Сталь S304
,4HD500,500 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,8HD1000,1000 мл,124 бар,"NPT ½""",Нерж. Сталь S304
,8HD2250,2250 мл,124 бар,"NPT ½""",Нерж. Сталь S304
,8HD1G,1 гал.,124 бар,"NPT ½""",Нерж. Сталь S304
,2HDY10,10 мл,124 бар,"NPT 1⁄8""",Нерж. Сталь S316
,4HDY30,30 мл,124 бар,"NPT ¼""",Нерж. Сталь S316
,4HDY300,300 мл,124 бар,"NPT ¼""",Нерж. Сталь S316
,4HDY500,500 мл,124 бар,"NPT ¼""",Нерж. Сталь S316
,4HDM150,150 мл,345 бар,"NPT ¼""",Monel
,4HDM500,500 мл,345 бар,"NPT ¼""",Monel
