#,Заказной код,Параметр:Заказной код:Объем,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал
,SCB-75-D-124-F4N-S6,75 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316
,SCB-150-D-124-F4N-S6,150 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316
,SCB-150-D-124-F6N-S6,150 мл,124 бар,"NPT 3⁄8""",Нерж. Сталь SS316
,SCB-300-D-124-F4N-S6,300 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316
,SCB-300-D-124-F6N-S6,300 мл,124 бар,"NPT 3⁄8""",Нерж. Сталь SS316
,SCB-500-D-124-F4N-S6,500 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316
,SCB-500-D-344-F4N-S6,500 мл,344 бар,"NPT ¼""",Нерж. Сталь SS316
,SCB-1000-D-124-F4N-S6,1000 мл,124 бар,"NPT ¼""",Нерж. Сталь SS316
,SCB-1000-D-345-F4N-S6,1000 мл,345 бар,"NPT ¼""",Нерж. Сталь SS316
,SCB-1000-D-124-F8N-S6,1000 мл,124 бар,"NPT ½""",Нерж. Сталь SS316
,SCB-1000-D-344-F8N-S6,1000 мл,344 бар,"NPT ½""",Нерж. Сталь SS316
,SCB-2250-D-124-F8N-S6,2250 мл,124 бар,"NPT ½""",Нерж. Сталь SS316
