#,Заказной код,Параметр:Заказной код:Объем,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал
,4HS75,75 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,4HS150,150 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,4HS300,300 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,4HS500,500 мл,124 бар,"NPT ¼""",Нерж. Сталь S304
,8HS1000,1000 мл,124 бар,"NPT ½""",Нерж. Сталь S304
