#,Заказной код,Параметр:Заказной код:Резьба,"Параметр:Заказной код:Каб.диапазон, мм",Параметр:Заказной код:O.D.
,ECGF-M12(BG07),M12x1.5,5,12
,ECGF-M12(BG10),M12x1.5,5,12
,ECGF-M16(BG07),M16x1.5,8,16
,ECGF-M16(BG10),M16x1.5,8,16
,ECGF-M18(BG10),M18x1.5,8,18
,ECGF-M18(BG12),M18x1.5,10,18
,ECGF-M18(BG15),M18x1.5,13,18
,ECGF-M20(BG10),M20x1.5,8,20
,ECGF-M20(ECG12),M20x1.5,10,20
,ECGF-M20(ECG15),M20x1.5,13,20
,ECGF-M20(ECG17),M20x1.5,15,20
,ECGF-M22(BG17),M22x1.5,15,22
,ECGF-M24(BG17),M24x1.5,15,24
,ECGF-M25(BG17),M25x1.5,15,25
,ECGF-M25(BG23),M25x1.5,21,25
,ECGF-M27(BG23),M27x1.5,21,27
,ECGF-M30(BG23),M30x1.5,21,30
,ECGF-M32(BG23),M32x1.5,21,32
,ECGF-M32(BG29),M32x1.5,25,32
,ECGF-M33(BG29),M33x1.5,25,33
,ECGF-M36(BG29),M36x1.5,25,36
,ECGF-M40(BG29),M40x1.5,25,40
,ECGF-M40(BG36),M40x1.5,33,40
,ECGF-M48(BG36),M48x2.0,33,48
,ECGF-M50(BG36),M50x1.5,33,50
,ECGF-M50(BG48),M50x1.5,45,50
,ECGF-M56(BG48),M56x2.0,45,56
,ECGF-M63(BG48),M63x1.5,45,63
