#,Заказной код,Параметр:Заказной код:Ду,Параметр:Заказной код:Диапазон обертки,Параметр:Заказной код:Цвет
,ERETO-6B,0.25,3.2-11.1,черный
,ERETO-9B,0.2,6.4-12.7,черный
,ERETO-13B,0.2,6.4-19.1,черный
,ERETO-16B,0.2,9.5-25.4,черный
,ERETO-20B,0.2,12.7-31.8,черный
,ERETO-25B,0.25,15.9-38.1,черный
,ERETO-32B,0.25,19.1-44.5,черный
,ERETO-6G,0.25,3.2-11.1,серый
,ERETO-9G,0.2,6.4-12.7,серый
,ERETO-13G,0.2,6.4-19.1,серый
,ERETO-16G,0.2,9.5-25.4,серый
,ERETO-20G,0.2,12.7-31.8,серый
,ERETO-25G,0.25,15.9-38.1,серый
,ERETO-32G,0.25,19.1-44.5,серый
,ERET-3B,0.2,2.4-6.4,Черный
,ERET-6B,0.25,3.2-11.1,Черный
,ERET-8B,0.2,6.4-12.7,Черный
,ERET-10B,0.25,4.8-15.9,Черный
,ERET-12B,0.2,6.4-19.1,Черный
,ERET-16B,0.2,9.5-25.4,Черный
,ERET-20B,0.2,12.7-31.8,Черный
,ERET-25B,0.25,15.9-38.1,Черный
,ERET-32B,0.25,19.1-44.5,Черный
,ERET-38B,0.25,25.4-63,Черный
,ERET-45B,0.25,32-70,Черный
,ERET-51 B,0.25,40-90,Черный
,ERET-64B,0.25,44.5-114,Черный
,ERET-76B,0.25,63.5-120,Черный
,ERET-3G,0.2,2.4-6.4,Серый
,ERET-6G,0.25,3.2-11.1,Серый
,ERET-8G,0.2,6.4-12.7,Серый
,ERET-10G,0.25,4.8-15.9,Серый
,ERET-12G,0.2,6.4-19.1,Серый
,ERET-16G,0.2,9.5-25.4,Серый
,ERET-20G,0.2,12.7-31.8,Серый
,ERET-25G,0.25,15.9-38.1,Серый
,ERET-32G,0.25,19.1-44.5,Серый
,ERET-38G,0.25,25.4-63,Серый
,ERET-45G,0.25,32-70,Серый
,ERET-51G,0.25,40-90,Серый
,ERET-64G,0.25,44.5-114,Серый
,ERET-76G,0.25,63.5-120,Серый
