#,Заказной код,Параметр:Заказной код:Резьба,
,ECGQF-M12B(BG-07),M12?1.5,
,ECGQF-M16B(BG-10),M16?1.5,
,ECGQF-M16B(BG-12),M16?1.5,
,ECGQF-M16B(BG-15),M16?1.5,
,ECGQF-M20B(ECG-12),M20?1.5,
,ECGQF-M20B(ECG-15),M20?1.5,
,ECGQF-M20B(ECG-17),M20?1.5,
,ECGQF-M25B(BG-23),M25?1.5,
,ECGQF-M32B(BG-23),M32?1.5,
,ECGQF-M32B(BG-29),M32?1.5,
,ECGQF-M40B(BG-36),M40?1.5,
,ECGQF-M50B(BG-48),M50?1.5,
,ECGQF-M63B(BG-48),M63?1.5,
,ECGQF-PG7B(BG-07),PG7,
,ECGQF-PG9B(BG-07),PG9,
,ECGQF-PG9B(BG-10),PG9,
,ECGQF-PG11B(BG-10),PG11,
,ECGQF-PG11B(BG-12),PG11,
,ECGQF-PG11B(BG-15.8),PG11,
,ECGQF-PG13.5B(BG-12),PG13.5,
,ECGQF-PG13.5B(BG-15),PG13.5,
,ECGQF-PG16B(BG-12),PG16,
,ECGQF-PG16B(BG-15),PG16,
,ECGQF-PG16B(BG-17),PG16,
,ECGQF-PG21B(BG-23),PG21,
,ECGQF-PG29B(BG-29),PG29,
,ECGQF-PG36B(BG-36),PG36,
,ECGQF-PG48B(BG-48),PG48,
