#,Заказной код,"Параметр:Заказной код:Кабельный диапазон, мм"
,ECL-M10x1.0-6,1.5-3
,ECL-M12x1.5-8,2-8
,ECL-M16?1.5-11,4-11
,ECL-M18?1.5-11,4-11
,"ECL-M20x1,5-14",5-14
,ECL-M22?1.5-14,5-14
,ECL-M24?1.5-20,11-20
,"ECL-M25x1,5-20",11-20
,ECL-M27?1.5-20,11-20
,ECL-M30?2.0-25,15-25
,"ECL-M32x1,5-25",15-25
,ECL-M33?2.0-25,15-25
,ECL-M36?2.0-25,15-25
,"ECL-M40x1,5-32",20-32
,"ECL-M50x1,5-42",31-42
,ECL-M63?1.5-54,41-54
,ECL-M72?2.0-65,15
,ECL-M75?1.5-65,54-58
,ECL-M85?1.5-77,65-70
,ECL-M90?1.5-77,15
,ECL-M100?1.5-89,77-81
,ECL-M110?1.5-101,89-94
,ECL-M120?1.5-113,20
,ECL-M125?1.5-113,20
,ECL-M130?1.5-125,20
