#,Заказной код,Параметр:Заказной код:Ду
,ETRG-0.5W,"0,5"
,ETRG-1W,1
,ETRG-1.5W,"1,5"
,ETRG-2W,2
,ETRG-2.5W,"2,5"
,ETRG-3W,3
,ETRG-3.5W,"3,5"
,ETRG-4W,4
,ETRG-4.5W,"4,5"
,ETRG-5W,5
,ETRG-6W,6
,ETRG-7W,7
,ETRG-8W,8
,ETRG-9W,9
,ETRG-10W,10
,ETRG-12W,12
,ETRG-13W,13
,ETRG-14W,14
,ETRG-15W,15
,ETRG-16W,16
,ETRG-17W,17
,ETRG-18W,18
,ETRG-19W,19
,ETRG-20W,20
