#,Заказной код,Параметр:Заказной код:Длина L,Параметр:Заказной код:Диаметр W,Параметр:Заказной код:Диаметр C,Параметр:Заказной код:Диаметр D
,EFT0.25-6,"10,4","2,5","0,75","1,05"
,EFT0.25-8,"12,5",-,-,-
,EFT0.3-6,"10,5","2,5","0,8","1,1"
,EFT0.3-8,"12,5",-,-,-
,EFT0.5-6,12,"2,6",1,"1,3"
,EFT0.5-8,14,-,-,-
,EFT0.5-10,16,-,-,-
,EFT0.5-12,18,-,-,-
,EFT0.75-6,"12,4","2,8","1,2","1,5"
,EFT0.75-8,"14,6",-,-,-
,EFT0.75-10,"16,4",-,-,-
,EFT0.75-12,"18,4",-,-,-
,EFT1.0-6,"12,4",3,"1,4","1,7"
,EFT1.0-8,"14,6",-,-,-
,EFT1.0-10,"16,4",-,-,-
,EFT1.0-12,"18,4",-,-,-
,EFT1.5-6,"14,6","3,5","1,7",2
,EFT1.5-10,"16,4",-,-,-
,EFT1.5-12,"18,4",-,-,-
,EFT1.5-18,"24,4",-,-,-
,EFT2.5-6,"15,2",4,"2,3","2,6"
,EFT2.5-10,"17,2",-,-,-
,EFT2.5-12,"19,2",-,-,-
,EFT2.5-18,"25,2",-,-,-
,EFT4.0-9,"16,5","4,4","2,8","3,2"
,EFT4.0-12,"19,5",-,-,-
,EFT4.0-18,"25,5",-,-,-
,EFT6.0-10,18,"6,3","3,5","3,9"
,EFT6.0-12,20,-,-,-
,EFT6.0-18,26,-,-,-
,EFT10-12,"21,5","7,6","4,5","4,9"
,EFT10-18,"27,5",-,-,-
,EFT16-12,"22,2","8,8","5,8","6,2"
,EFT16-18,"28,2",-,-,-
,EFT25-16,29,"11,2","7,5","7,9"
,EFT25-22,35,-,-,-
,EFT35-16,30,"12,7","8,3","8,7"
,EFT35-25,39,-,-,-
,EFT50-20,36,"15,3","10,3","10,9"
,EFT50-25,41,-,-,-
,EFT70-20,37,"18,5","13,5","14,3"
,EFT70-25,42,"18,5","13,5","14,3"
,EFT70-27,44,"18,5","13,5","14,3"
,EFT95-25,44,"20,3","14,5","15,3"
,EFT120-27,"47,6","23,4","16,5","17,5"
,EFT120-32,"52,6","23,4","16,5","17,5"
,EFT150-25,"50,6",16,"19,6","20,6"
,EFT150-27,"52,6",16,"19,6","20,6"
,EFT150-32,"57,6",16,"19,6","20,6"
,EFW 0.5-8,"14,5",5,"1,5","1,8"
,EFW 0.75-8,"14,7","5,5","1,8","2,1"
,EFW0.75-10,"16,7","5,5","1,8","2,1"
,EFW1.0-8,"15,1","5,5",2,"2,3"
,EFW 1.0-10,"17,1","5,5",2,"2,3"
,EFW 1.5-8,"15,5","6,4","2,3","2,6"
,EFW1.5-12,"19,5","6,4","2,3","2,6"
,EFW 2.5-10,"18,5",8,"2,9","3,3"
,EFW2.5-13,"21,5",8,"2,9","3,3"
,EFW 4.0-12,"23,1","8,8","3,8","4,2"
,EFW 6.0-14,"26,1","9,5","4,9","5,3"
,EFW 10-14,"26,6","12,6","6,5","6,9"
,EFW 16-14,"31,3",19,"8,3","8,7"
