#,Заказной код,"Параметр:Заказной код:Ширина, мм",Параметр:Заказной код:Цвет кнопки
,EEB2-BC42/R,40,красный
,EEB2-BC31/G,40,зеленый
,EEB2-BS542/R,40,красный
,EEB2-BS642/R,60,красный
