#,Заказной код,Параметр:Заказной код:Резьба,"Параметр:Заказной код:O.D., мм","Параметр:Каб.диапазон, мм"
,EOBL-03M,M16x1.5,M16*1.5,6-10
,EOBL-04M,M16x1.5,M16*1.5,6-10
,EOBL-05M,M20x1.5,M20*1.5,8-12
,EOBL-06M,M25x1.5,M25*1.5,8-12
,EOBL-08M,M32x1.5,M32*1.5,15-22
,EOBL-10M,M40x1.5,M40*1.5,18-25
,EOBL-12M,M50x1.5,M50*1.5,26-32
,EOBL-16M,M63x1.5,M63*1.5,37-44
,EOBL-20M,M72x2,M72*2,42-52
,EOBL-24M,M88x2,M88*2,55-62
,EOBL-32M,M114x2,M114*2,78-84
,EOBL-03P,PG9,MCR-03,4-8
,EOBL-04P,PG,MCR-04,6-10
,EOBL-05P,PG13.5,MCR-05,8-12
,EOBL-06P,PG21,MCR-06,13-18
,EOBL-08P,PG29,MCR-08,18-25
,EOBL-10P,PG29,MCR-10,18-25
,EOBL-12P,PG36,MCR-12,26-32
,EOBL-16P,PG48,MCR-16,37-44
,EOBL-03G,"G3/8""",MCR-03,10
,EOBL-04G,"G3/8""",MCR-04,13
,EOBL-05G,"G1/2""",MCR-05,16
,EOBL-06G,"G3/4""",MCR-06,20
,EOBL-08G,"G1""",MCR-08,25
,EOBL-10G,G1,MCR-10,32
,EOBL-12G,G1,MCR-12,38
,EOBL-16G,"G2""",MCR-16,51
