#,Заказной код,Параметр:Заказной код:Размер A,Параметр:Заказной код:Размер B,Параметр:Заказной код:Размер C
,ETPR-2MB,3,2,15
,ETPR-3MB,4,3,15
,ETPR-4MB,5,4,15
,ETPR-5MB,6,5,15
,ETPR-6MB,"7,5",6,15
,ETPR-7MB,"8,5",7,15
,ETRP-8MB,"9,5",8,15
,ETRP-9MB,"10,5",9,15
,ETRP-10MB,"11,5",10,15
