#,Заказной код,Параметр:Заказной код:Резьба,"Параметр:Заказной код:Кабельный диапазон, мм"
,EB-M10X1.5EMV-6.5,M10X1.5E,3-6.5
,EB-M12 X 1.5EMV-6.5,M12 X 1.5E,3-6.5
,EB-M14X1.5EMV-6.5,M14X1.5E,3-6.5
,EB-M14X1.5EMV-8,M14X1.5E,4-8
,EB-M16 X 1.5EMV-8,M16 X 1.5E,4-8
,EB-M16 X 1.5EMV-10,M16 X 1.5E,5-10
,EB-M18 X 1.5EMV-10,M18 X 1.5E,5-10
,EB-M18 X 1.5EMV-12,M18 X 1.5E,6-12
,"EB-M20x1,5EMV-12","M20x1,5E",6-12
,"EB-M20x1,5EMV-14","M20x1,5E",10-14
,EB-M22X1.5EMV-12,M22X1.5E,6-12
,EB-M22 X 1.5EMV-14,M22 X 1.5E,10-14
,EB-M24X1.5EMV-14,M24X1.5E,10-14
,EB-M25 X 1.5EMV-14,M25 X 1.5E,10-14
,EB-M25 X 1.5EMV-17,M25 X 1.5E,11-17
,"EB-M25x1,5EMV-18","M25x1,5E",13-18
,EB-M27X1.5EMV-17,M27X1.5E,11-17
,EB-M27X2.0EMV-17,M27X2.0E,11-17
,EB-M27X1.5EMV-18,M27X1.5E,13-18
,EB-M27X2.0EMV-18,M27X2.0E,13-18
,EB-M30X2.0EMV-18,M30X2.0E,13-18
,EB-M30 X 2.0EMV-21,M30 X 2.0E,15-21
,EB-M30 X 2.0EMV-25,M30 X 2.0E,18-25
,EB-M32 X 1.5EMV-18,M32 X 1.5E,13-18
,"EB-M32x1,5EMV-21","M32x1,5E",15-21
,"EB-M32x1,5EMV-25","M32x1,5E",18-25
,EB-M33X2.0EMV-18,M33X2.0E,13-18
,EB-M33 X 2.0EMV-21,M33 X 2.0E,15-21
,EB-M33 X 2.0EMV-25,M33 X 2.0E,18-25
,EB-M36 X 2.0EMV-25,M36 X 2.0E,18-25
,EB-M36 X 2.0EMV-28,M36 X 2.0E,19-28
,EB-M40 X 1.5EMV-25,M40 X 1.5E,18-25
,EB-M40 X 1.5EMV-28,M40 X 1.5E,19-28
,"EB-M40x1,5EMV-32","M40x1,5E",22-32
,EB-M42 X 2.0EMV-32,M42 X 2.0E,22-32
,EB-M48 X 2.0EMV-32,M48 X 2.0E,22-32
,EB-M48 X 2.0EMV-38,M48 X 2.0E,30-38
,EB-M50 X 1.5EMV-32,M50 X 1.5E,22-32
,EB-M50 X 1.5EMV-38,M50 X 1.5E,30-38
,EB-M54 X 2.0EMV-38,M54 X 2.0E,30-38
,"EB-M50x1,5EMV-38","M50x1,5E",30-38
,EB-M60 X 2.0EMV-44,M60 X 2.0E,34-44
,EB-M63 X 1.5EMV-44,M63 X 1.5E,34-44
,EB-M64 X 2.0EMV-44,M64 X 2.0E,34-44
,EB-M72 X 2.0EMV-55,M72 X 2.0E,42-52
,EB-M75 X 1.5EMV-55,M75 X 1.5E,42-52
,EB-M80 X 2.0EMV-60,M80 X 2.0E,50-60
,EB-M88X 2.0EMV-70,M88X 2.0E,60-70
,EB-M100 X 2.0EMV-80,M100 X 2.0E0,70-80
,EB-M110 X 2.0EMV-90,M110 X 2.0E,80-90
,EB-M125 X 2.0EMV-100,M125 X 2.0E0,90-100
