#,Заказной код,Параметр:Заказной код:Длина,Параметр:Заказной код:Цвет
,EYBT-84,84,20
,EYBT-100,100,25
,EYBT-115,115,30
,EYBT-147,147,40
,EYBT-183,183,50
,EYBT-246,246,70
,EYBT-340,340,100
