#,Заказной код,Параметр:Заказной код:Резьба,"Параметр:Заказной код:Кабельный диапазон, мм"
,EB-M12X1.5-H2-2,A-M12X1.5,0.5-2
,EB-M12X1.5-H3-2,A-M12X1.5,0.5-2
,EB-M12X1.5-H4-1,A-M12X1.5,0.3-1
,EB-M16X1.5-H2-3,A-M16X1.5,1-3
,EB-M16X1.5-H3-3,A-M16X1.5,1-3
,EB-M16X1.5-H4-2,A-M16X1.5,1-2
,EB-M16X1.5-H5-1,A-M16X1.5,0.3-1
,"EB-M20x1,5-H2-4 seal","A-M20x1,5",2-4
,EB-M20X1.5-H3-4,A-M20X1.5,2-4
,EB-M20X1.5-H4-3,A-M20X1.5,1-3
,EB-M20X1.5-H5-2,A-M20X1.5,0.5-2
,EB-M20X1.5-H6-1,A-M20X1.5,0.3-1
,"EB-M25x1,5-H2-5 seal","A-M25x1,5",3-5
,EB-M25X1.5-H3-5,A-M25X1.5,3-5
,EB-M25X1.5-H4-4,A-M25X1.5,2-4
,EB-M25X1.5-H5-3,A-M25X1.5,1-3
,EB-M25X1.5-H6-2,A-M25X1.5,0.5-2
,"EB-M32x1,5-H2-7 seal","A-M32x1,5",4-7
,EB-M32X1.5-H3-6,A-M32X1.5,3-6
,EB-M32X1.5-H4-6,A-M32X1.5,3-6
,EB-M32X1.5-H5-4,A-M32X1.5,2-4
,EB-M32X1.5-H6-3,A-M32X1.5,1-3
,EB-M32X1.5-H7-2,A-M32X1.5,0.5-2
,"EB-M40x1,5-H2-8 seal","A-M40x1,5",5-8
,EB-M40X1.5-H3-8,A-M40X1.5,5-8
,EB-M40X1.5-H4-8,A-M40X1.5,5-8
,EB-M40X1.5-H5-6,A-M40X1.5,3-6
,EB-M40X1.5-H6-5,A-M40X1.5,3-5
,EB-M40X1.5-H7-5,A-M40X1.5,3-5
,"EB-M50x1,5-H2-12 seal","A-M50x1,5",22-32
,EB-M50X1.5-H3-11,A-M50X1.5,22-32
,EB-M50X1.5-H4-9,A-M50X1.5,22-32
,EB-M50X1.5-H5-8,A-M50X1.5,22-32
,EB-M50X1.5-H6-7,A-M50X1.5,22-32
,EB-M50X1.5-H7-7,A-M50X1.5,22-32
,EB-M20X1.5-W4H10,A-M20X1.5,4X 10
,EB-M20 X 1.5-W3H11,A-M20 X 1.5,3X 11
,EB-M25X1.5-W6H13,A-M25X1.5,6X 13
,EB-M32X1.5-W5H17,A-M32X1.5,5X 17
,EB-M40 X 1.5-W8H25,A-M40 X 1.5,8X 25
,EB-M50 X 1.5-W6H30,A-M50 X 1.5,6X 30
,EB-M63 X 1.5-W9H43,A-M63 X 1.5,9X 43
